# Evidence Log: Track all research findings with citations
#
# Column Definitions:
# - timestamp: When evidence was collected (ISO format: YYYY-MM-DDTHH:MM:SS)
# - source_type: journal | conference | book | web | preprint
# - citation: Full citation (BibTeX, APA, or Simple format)
# - key_finding: Main takeaway from this source (1-2 sentences)
# - confidence: high | medium | low (based on source quality and clarity)
# - notes: Additional context, caveats, or methodological notes
#
# Validation: Citations must be non-empty, source_type must be valid
# Format: BibTeX (@article{...}) or APA (Author (Year). Title.) recommended
timestamp,source_type,citation,key_finding,confidence,notes
2026-06-12T16:40:00,web,"ClawSouls (2026). SoulSpec v0.5 + repo API + soulspec.org.","SoulSpec latest is v0.5 (2026-02-24); soulspec.org still advertises v0.4; ClawSouls org active (pushes 2026-06-11). Versions are cumulative diffs, not self-contained.",high,"RQ-03; sources soulspec-v05, soulspec-api, soulspec-org"
2026-06-12T16:40:00,web,"SoulSpec v0.5 vs RFC-1 cross-read.","SoulSpec and RFC-1 are unrelated lineages: zero cross-citation either direction. SoulSpec requires soul.json manifest + multi-file package; has no frontmatter, no composition/merge rules, no published JSON Schema, minimal RFC-2119 language.",high,"RQ-03; sources soulspec-v05, soulspec-v03, rfc1-repo"
2026-06-12T16:40:00,web,"muster v1 src/core/adapter.ts + src/adapters/rfc1/ (local read).","SpecAdapter boundary reusable as designed; rfc1 implementation not reusable for SoulSpec: parse new (JSON), validate new (muster-authored schema), resolve degenerates to package assembly, thresholds/triggers have no SoulSpec equivalent. Behavioral lanes stay RFC-1-only.",high,"RQ-03 DECISION: separate adapter, core reuse only; source muster-core"
2026-06-12T16:45:00,web,"OpenClaw (2026). src/agents/system-prompt.ts CONTEXT_FILE_ORDER.","Exact injection order exists only in source code: AGENTS(10) SOUL(20) IDENTITY(30) USER(40) TOOLS(50) BOOTSTRAP(60) MEMORY(70); HEARTBEAT dynamic after prompt-cache boundary. Hardcoded, not configurable (issue #65438). Docs file-listing order differs and is not normative.",high,"RQ-04; load-order checks can cite source code or muster rubric only; sources oc-source-order, oc-issue-order, oc-sysprompt"
2026-06-12T16:45:00,web,"OpenClaw (2026). Agent workspace docs (live + repo mirror).","MEMORY.md privacy rule is official-docs verbatim: 'Only load MEMORY.md in the main, private session (not shared/group contexts).' Directly citable for the privacy-boundary probe.",high,"RQ-04; sources oc-workspace, oc-workspace-repo"
2026-06-12T16:45:00,web,"OpenClaw (2026). Agent workspace docs.","TOOLS.md is guidance-only ('does not control tool availability') - drift lint is a muster-rubric check, not an upstream-violation check. Truncation: bootstrapMaxChars=20000, bootstrapTotalMaxChars=60000 (third-party 150k figures wrong).",high,"RQ-04; source oc-workspace"
2026-06-12T16:45:00,web,"OpenClaw (2026). Heartbeat gateway docs + HEARTBEAT template.","HEARTBEAT.md semantics documented: default prompt, interval 30m default (1h under Anthropic OAuth), HEARTBEAT_OK quiet-ack with ackMaxChars=300, empty file skips run, 0m disables and removes from bootstrap.",high,"RQ-04; interval varies by auth mode - checks must read config; sources oc-heartbeat, oc-heartbeat-tpl"
2026-06-12T16:45:00,web,"OpenClaw docs survey (synthesis).","All OpenClaw workspace files have official docs with stable URLs (class a); load order is source-only (class b); conflict precedence documented NOWHERE - the 'undefined precedence' static finding is validated. Project renamed twice Jan 2026; pin citations to commit SHAs.",high,"RQ-04 DECISION; sources oc-workspace, oc-sysprompt, oc-source-order, oc-wikipedia"
2026-06-12T16:50:00,web,"A2A Project (2026). A2A Protocol Specification v1.0.","A2A spec v1.0.0 (2026-03-12, LF governance); protobuf a2a.proto is the single normative definition, published JSON schema explicitly non-normative; well-known URI is /.well-known/agent-card.json (agent.json obsolete). Spec mandates card accuracy: interface declarations MUST be accurate, undeclared capabilities MUST yield specific errors, auth per declared schemes.",high,"RQ-05; sources a2a-spec, a2a-releases"
2026-06-12T16:50:00,web,"A2A Project (2026). a2a-tck.","An OFFICIAL A2A conformance suite already exists: a2a-tck (pytest, v1.0.0, active) does card schema validation, discovery, capability-conditional behavioral tests across three transports, RFC-2119-leveled reporting. Corrects the brief's assumption that no prior art exists.",high,"RQ-05 DECISION: deprioritize generic card validation; residual gap = signed-card live verification, skill-level probing, auth negatives, CI monitoring; source a2a-tck"
2026-06-12T16:50:00,web,"A2A Project (2026). Issue #1755; capiscio/validate-a2a.","Field evidence of widespread card/behavior mismatch in deployed agents (issue #1755); third-party validators exist but lag spec (capiscio at v0.3.0).",medium,"RQ-05; contract-testing value confirmed but TCK owns the center; sources a2a-issue, capiscio"
2026-06-12T16:55:00,web,"Promptfoo/DeepEval/OpenAI Evals/Inspect docs sweep.","No major eval harness (promptfoo, DeepEval, OpenAI Evals, Inspect, LangSmith, Braintrust, Ragas, Giskard, lm-eval, HELM, Anthropic Console) validates agent definition FILES against specs - all test runtime outputs of an opaque target.",high,"RQ-06; sources pf-asserts, de-metrics, oai-graders, inspect-scorers"
2026-06-12T16:55:00,web,"AgentLinter; cclint; agent-skill-linter (counterevidence sweep).","Counterevidence found: a static-linter ecosystem does file-spec conformance (cclint, agent-skill-linter, Agnix, AgentShield); AgentLinter even flags cross-file persona mismatch (SOUL.md vs CLAUDE.md) and permission conflicts - static and heuristic only.",high,"RQ-06; AgentLinter is the closest competitor, targets OpenClaw-ecosystem files; hands-on audit pending; sources agentlinter, cclint, skill-linter"
2026-06-12T16:55:00,web,"Prior-art verdict (adversarial synthesis).","Brief's gap claim is overbroad. Defensible narrowed claim: no eval HARNESS combines file-spec conformance + cross-layer composition analysis + behavioral verification of the composed stack with CI semantics. Memory and schedule layers covered by nothing at all.",high,"RQ-06 DECISION: rewrite positioning claim; synthesis of all RQ-06 sources"
2026-06-12T16:55:00,web,"Promptfoo assertions; Inspect scorers docs.","Assertion-vocabulary reuse targets: promptfoo richest (trajectory/tool-sequence asserts, --repeat without k-of-n reducer); Inspect has native k-of-n via epochs + at_least reducers; DeepEval agentic metrics are judge-based.",medium,"RQ-06; Inspect reducer detail snippet-verified only; sources pf-asserts, inspect-scorers, de-metrics"
2026-06-12T17:00:00,preprint,"Wallace et al. (2024). The Instruction Hierarchy. arXiv:2404.13208.","Instruction-precedence conflict handling is an established research line: OpenAI trains system>developer>user>tool privilege levels on synthetic conflicting-instruction data.",high,"RQ-07; source instr-hierarchy"
2026-06-12T17:00:00,preprint,"ManyIH-Bench (2026). arXiv:2604.09443; SysBench (2024). arXiv:2408.10943.","Best models score <50% on multi-tier privilege-conflict resolution (ManyIH-Bench, 46 real agents); SysBench documents system-message adherence degradation and multi-turn instability.",medium,"RQ-07; ManyIH verified via snippets only; sources manyih, sysbench"
2026-06-12T17:00:00,preprint,"WIRE (2026). arXiv:2605.27784; Arbiter (2026). arXiv:2603.08993.","Within-context conflict detection has direct precedent: WIRE runs SAT-style conflict witnesses over rules extracted from one composed policy (35.4% joint compliance); Arbiter detects block-pair interference in real agent system prompts (4 direct contradictions found in Claude Code's own prompt; $0.27/run).",high,"RQ-07; closest prior art to muster's static cross-layer lint; both fetched directly; sources wire, arbiter"
2026-06-12T17:00:00,conference,"Deshpande et al. (2023). Toxicity in ChatGPT. EMNLP Findings.","Persona assignment raises toxicity up to 6x - the canonical persona-erosion citation.",high,"RQ-07; rule-survival test justification; source deshpande2023"
2026-06-12T17:00:00,preprint,"Persona jailbreak literature: arXiv:2507.22171, 2601.16466, 2402.10962, 2310.13548.","Persona prompts cut refusal rates 50-70%; adversarial history reshapes induced persona; persona drift within ~8 turns (attention decay); sycophancy is a trained behavior favoring user-pleasing over policy.",high,"RQ-07; numbers match abstracts, not all re-verified against full PDFs; sources persona-jailbreak, phish, persona-drift, sycophancy"
2026-06-12T17:00:00,web,"Prompt-linter field check.","No mature CI-grade prompt-contradiction linter exists - only research prototypes (Arbiter, WIRE) and hobby linters. Open gap for muster's static cross-layer lint.",medium,"RQ-07 DECISION; sources arbiter, agentlinter"
2026-06-12T17:05:00,conference,"Zheng et al. (2023). MT-Bench judge study; Wang et al. (2023). Fair Evaluators; Judging the Judges (2026).","LLM judges reach ~80% human agreement but exhibit position, verbosity (+17.3% length bias), self-enhancement and ~12 catalogued biases; order-swap and rubric anchoring are the documented mitigations.",high,"RQ-08; encode in muster judge graders; sources mtbench, fair-eval, judging-judges"
2026-06-12T17:05:00,conference,"Souly et al. (2024). StrongREJECT. NeurIPS 2024 D&B.","Naive string-match refusal detection badly overstates jailbreak success (empty jailbreaks) - refusal QUALITY grading needs a calibrated rubric evaluator, not regex alone.",high,"RQ-08; refusal checks are hybrid binary+judge; source strongreject"
2026-06-12T17:05:00,preprint,"SOPBench (2025). arXiv:2503.08669; tau-bench (2024). arXiv:2406.12045.","SOP rules can compile to executable oracle verifiers over tool-call traces (SOPBench: 167 tools, 900+ cases, rule-based graders); tau-bench's pass^k (conjunctive over k trials) is the citable standard for stochastic compliance - pass^8 <25% even when pass^1 ~50%.",high,"RQ-08 DECISION: binary/judge line at trace decidability; adopt pass^k for safety-critical rules; sources sopbench, taubench"
2026-06-12T17:05:00,preprint,"Synthesis over SOPBench/tau-bench/promptfoo/Inspect practice.","Objectively gradable rule classes: never-call-tool-X, tool-order, argument constraints, confirm-before-destructive (event order), output format, exact leakage strings. Judge-required: refusal quality, paraphrased leakage, tone/persona adherence. No citable formal taxonomy exists - muster must publish its own rubric.",high,"RQ-08; taxonomy is muster's own synthesis grounded in practice, not a single citable framework; sources sopbench, taubench, pf-deterministic, inspect-scorers"
2026-06-12T17:10:00,web,"License verification sweep (GitHub API spdx, HF tags, raw LICENSE files).","Clean-to-vendor corpora (verified 2026-06-12): InjecAgent (MIT, 1054 agent tool-injection cases), AgentDojo (MIT, 629 security cases), gandalf_ignore_instructions (MIT, 1000), deepset/prompt-injections (Apache-2.0, 662), LLMail-Inject (MIT, ~208k raw), JBB-Behaviors (MIT, 100+100).",high,"RQ-09 DECISION shortlist; re-verify at vendoring time; sources injecagent, agentdojo, gandalf, deepset-pi, llmail, jbb"
2026-06-12T17:10:00,web,"PINT; promptfoo red-team; BIPIA; garak license notes.","Not vendorable: PINT dataset (deliberately private), promptfoo red-team payloads (runtime-generated, partly remote API), BIPIA WebQA/Summarization contexts (upstream restrictions; attack templates OK). garak Apache-2.0 but aggregates third-party probe data - per-file provenance check required.",high,"RQ-09; sources pint, pf-redteam, bipia, garak"
2026-06-12T17:10:00,web,"Agent-scenario coverage analysis.","Only AgentDojo, InjecAgent, LLMail-Inject (and BIPIA partially) cover AGENT scenarios (tool use, scope escape, exfiltration); deepset/gandalf/JBB/HarmBench/AdvBench are chat-level direct injection or jailbreak.",high,"RQ-09; sources agentdojo, injecagent, llmail, bipia"
2026-06-12T17:15:00,web,"Sequencing synthesis over RQ-01/02/05/06 findings.","Sequencing decision revises the brief's hypothesis: Skills first (real open spec, neutral governance, ~42 clients, official trigger methodology, no unified conformance suite - the v1 RFC-1 playbook with a larger audience), OpenClaw SOP second (biggest safety payoff; persona+SOP unlocks rule-survival headline), cross-layer third. A2A waits (official TCK owns the center).",high,"RQ-10 DECISION; SOP-first remains defensible if cross-layer headline is the near-term priority"
